token,transcription,pos,morphology,alt_transcription_1,alt_transcription_2,alt_transcription_3,update_info,freq,lemma,comment,number_of_years
tekstdel,T EH1 K S T D EE3 L,NN,SIN|IND|NOM|MAS,,,,Målfrid,1292,tekstdel,,
tekstdelen,T EH1 K S T D EE3 L NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,10608,tekstdele,,
tekstforståelse,T EH1 K S T F OAH0 RS RT OA3 AX0 L S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,864,tekstforståelse,,
tekstilmateriale,T AX0 K S T II1 L M AH0 T AX0 R IH0 AA3 L AX0,NN,SIN|IND|NOM|NEU,,,,Målfrid,1927,tekstilmaterial,,
tekstilmaterialer,T AX0 K S T II1 L M AH0 T AX0 R IH0 AA3 L AX0 R,NN,PLU|IND|NOM|NEU,,,,Målfrid,4443,tekstilmateriale,,
tekstilstoff,T AX0 K S T II1 L S T OAH3 F,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,3221,tekstilstoff,,
tekstilstoffer,T AX0 K S T II1 L S T OAH3 F AX0 R,NN,PLU|IND|NOM|NEU,,,,Målfrid,1373,tekstilstoffe,,
tekstproduksjon,T EH1 K S T P R OH0 D UH0 K SJ OO3 N,NN,SIN|IND|NOM|MAS,,,,Målfrid,1294,tekstproduksjon,,
tekststørrelsen,T EH1 K S T S T OE3 RLX0 S NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,2741,tekststørrelse,,
tekstsøket,T EH1 K S T S OE3 K AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1508,tekstsøk,,
teksttyper,T EH1 K S T T YY3 P AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1010,teksttype,,
tektoniske,T AX0 K T OO1 N IH0 S K AX0,JJ,PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,978,tektonisk,,
tektsskatt,T EH1 K T S S K AH3 T,NN,SIN|IND|NOM|MAS,,,,Målfrid,1638,tektsskatt,,
tektsåret,T EH1 K T S OA3 R AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1056,tektsår,,
telefarlig,T EE2 L AX0 F AA3 RL IH0,JJ,SIN|IND|NOM|NEU-MAS-FEM|POS,,,,Målfrid,812,telefarlig,,
telefonmarkedsføring,T AX0 L AX0 F OO1 N M AH0 R K AX0 D S F OE3 R IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1058,telefonmarkedsføring,,
telegrafvesen,T AX0 L AX0 G R AA1 F V EE3 S NX0,NN,SIN-PLU|DEF|NOM|NEU,,,,Målfrid,1064,telegrafvese,,
telekommunikasjonsapparater,T EE2 L AX0 K OH0 M UH0 N IH0 K AH0 SJ OO0 N S AH0 P AH0 R AA3 T AX0 R,NN,PLU|IND|NOM|NEU,,,,Målfrid,884,telekommunikasjonsapparate,,
telekommunikasjonstjenester,T EE2 L AX0 K OH0 M UH0 N IH0 K AH0 SJ OO0 N S T J EE3 N AX0 S T AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1793,telekommunikasjonstjeneste,,
telledato,T EH2 L AX0 D AA3 T OH0,NN,SIN|IND|NOM|MAS,,,,Målfrid,833,telledato,,
tellingsdagen,T EH2 L IH0 NG S D AA3 G AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1245,tellingsdage,,
tellingskrets,T EH2 L IH0 NG S K R EH3 T S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,1000,tellingskrets,,
tellingskretsene,T EH2 L IH0 NG S K R EH3 T S NX0 AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,974,tellingskretse,,
tellingskretser,T EH2 L IH0 NG S K R EH3 T S AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,4453,tellingskretse,,
tellingsresultatene,T EH2 L IH0 NG S R AX0 S UH0 L T AA3 T NX0 AX0,NN,PLU|DEF|NOM|NEU,,,,Målfrid,1191,tellingsresultat,,
tellingstidspunktet,T EH2 L IH0 NG S T IH0 D S P OH3 NG K T AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,13945,tellingstidspunkt,,
tellingsuka,T EH2 L IH0 NG S UU3 K AH0,NN,SIN|DEF|NOM|FEM,,,,Målfrid,7557,tellingsuke,,
tellingsåret,T EH2 L IH0 NG S OA3 R AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1016,tellingsår,,
temadata,T EE1 M AH0 D AA3 T AH0,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1404,temadate,,
temaområde,T EE1 M AH0 OAH0 M R OA3 D AX0,NN,SIN|IND|NOM|NEU,,,,Målfrid,1541,temaområde,,
temaområdet,T EE1 M AH0 OAH0 M R OA3 D AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1968,temaområd,,
temarapport,T EE1 M AH0 R AH0 P OAH3 RT,NN,SIN|IND|NOM|MAS,,,,Målfrid,908,temarapport,,
temasiden,T EE1 M AH0 S II3 D NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1367,temaside,,
temperaturforholdene,T AX0 M P AX0 R AH0 T UU1 R F OAH0 R H OAH3 L NX0 AX0,NN,PLU|DEF|NOM|NEU,,,,Målfrid,886,temperaturforhold,,
temperaturvertikal,T AX0 M P AX0 R AH0 T UU1 R V AX0 RT IH0 K AA3 L,NN,SIN|IND|NOM|MAS,,,,Målfrid,1257,temperaturvertikal,,
tennkilder,T EH1 N KJ IH3 L D AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1123,tennkilde,,
teoriutvikling,T AX0 OH0 R II1 UU0 T V IH3 K L IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,993,teoriutvikling,,
termineringspriser,T AX0 R M IH0 N EE1 R IH0 NG S P R II3 S AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,813,termineringsprise,,
terminvis,T AX0 R M II1 N V II3 S,AB,,,,,Målfrid,855,terminvis,,
terrengdekkende,T AX0 R EH1 NG D EH3 K AX0 N AX0,JJ,SIN-PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,1272,terrengdekkend,,
terrengfeller,T AX0 R EH1 NG F EH3 L AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,1340,terrengfelle,,
terrengform,T AX0 R EH1 NG F OAH3 R M,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,902,terrengform,,
terrengformasjoner,T AX0 R EH1 NG F OAH0 R M AH0 SJ OO3 N AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,817,terrengformasjone,,
terrengformer,T AX0 R EH1 NG F OAH3 R M AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,949,terrengforme,,
terrengmodell,T AX0 R EH1 NG M OH0 D EH3 L,NN,SIN|IND|NOM|MAS,,,,Målfrid,1067,terrengmodell,,
terrengmodellen,T AX0 R EH1 NG M OH0 D EH3 L NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1838,terrengmodell,,
terrengmodeller,T AX0 R EH1 NG M OH0 D EH3 L AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,946,terrengmodell,,
terrengoverflaten,T AX0 R EH1 NG OA0 V AX0 R F L AA3 T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1858,terrengoverflate,,
terrengskader,T AX0 R EH1 NG S K AA3 D AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,949,terrengskade,,
terrengslitasje,T AX0 R EH1 NG SJ L IH0 T AA3 SJ AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,1017,terrengslitasje,,
terskelbassenget,T AEH2 RS K AX0 L B AH0 S EH3 NG AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1255,terskelbasseng,,
terskelbygging,T AEH2 RS K AX0 L B YH3 G IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,925,terskelbygging,,
tertialvis,T AX0 RT RS IH0 AA1 L V II3 S,AB,,,,,Målfrid,1589,tertialvis,,
testdata,T EH1 S T D AA3 T AH0,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1283,testdata,,
testfasiliteter,T EH1 S T F AH0 S IH0 L IH0 T EE3 T AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,810,testfasilitete,,
tetrakloreten,T AX0 T R AH0 K L OH0 R AX0 T EE1 N,NN,SIN|IND|NOM|MAS,,,,Målfrid,947,tetraklorete,,
tetthetene,T EH1 T H EE3 T NX0 AX0,NN,PLU|DEF|NOM|MAS-FEM,,,,Målfrid,1662,tetthet,,
tettheter,T EH1 T H EE3 T AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,5709,tetthet,,
tettstedsavgrensingen,T EH2 T S T EE0 D S AA0 V G R EH3 N S IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,863,tettstedsavgrensinge,,
tettstedsgrensene,T EH2 T S T EE0 D S G R EH3 N S NX0 AX0,NN,PLU|DEF|NOM|MAS-FEM,,,,Målfrid,2027,tettstedsgrense,,
tettstedsgrenser,T EH2 T S T EE0 D S G R EH3 N S AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,909,tettstedsgrense,,
tettstedskjernen,T EH2 T S T EE0 D S KJ AE3 RN RNX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,940,tettstedskjerne,,
tettstedsutvikling,T EH2 T S T EE0 D S UU0 T V IH3 K L IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,2746,tettstedsutvikling,,
tidfestingen,T II2 D F EH3 S T IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1564,tidfesting,,
tidligfase,T II2 D L IH0 F AA3 S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,2489,tidligfase,,
tidlønn,T II2 L OEH3 N,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,945,tidlønn,,
tidsbesparelse,T IH1 D S B AX0 S P AA3 RLX0 S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,930,tidsbesparelse,,
tidsdybde,T IH1 D S D YH3 B D AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,1562,tidsdybde,,
tidsforsinkelse,T IH1 D S F OAH0 RS IH3 NG K LX0 S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,942,tidsforsinkelse,,
tidsintervaller,T IH1 D S IH0 N T AX0 R V AH3 L AX0 R,NN,PLU|IND|NOM|NEU,,,,Målfrid,2181,tidsintervall,,
tidsintervallet,T IH1 D S IH0 N T AX0 R V AH3 L AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1099,tidsintervall,,
tidskostnader,T IH1 D S K OAH3 S T N AH0 D AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,882,tidskostnade,,
tidskritiske,T IH1 D S K R II3 T IH0 S K AX0,JJ,PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,1147,tidskritisk,,
tidsperiodene,T IH1 D S P AX0 R IH0 OO3 D NX0 AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,1054,tidsperiode,,
tidsserie,T IH1 D S S EE3 R IH0 AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,3054,tidsserie,,
tidsserien,T IH1 D S S EE3 R IH0 AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,11688,tidsserie,,
tidsseriene,T IH1 D S S EE3 R IH0 AX0 N AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,4880,tidsserie,,
tidsubegrensede,T IH1 D S UH0 B AX0 G R EH3 N S AX0 D AX0,JJ,PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,1000,tidsubegrensed,,
tidsutvikling,T IH1 D S UU0 T V IH3 K L IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1106,tidsutvikling,,
tidsutviklingen,T IH1 D S UU0 T V IH3 K L IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,957,tidsutviklinge,,
tidsverdier,T IH1 D S V AX0 RD II3 AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,957,tidsverdie,,
tilbakebetalingskrav,T IH0 L B AA2 K AX0 B AX0 T AA0 L IH0 NG S K R AA3 V,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1008,tilbakebetalingskrav,,
tilbakefylling,T IH0 L B AA2 K AX0 F YH3 L IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,944,tilbakefylling,,
tilbakegående,T IH0 L B AA2 K AX0 G OA3 AX0 N AX0,JJ,SIN-PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,3809,tilbakegåend,,
tilbakehold,T IH0 L B AA2 K AX0 H OAH3 L,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,2421,tilbakehold,,
tilbakekreving,T IH0 L B AA2 K AX0 K R EE3 V IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1121,tilbakekreving,,
tilbudsfristen,T IH2 L B UU0 D S F R IH3 S T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1919,tilbudsfrist,,
tilbudsfristens,T IH2 L B UU0 D S F R IH3 S T NX0 S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,1386,tilbudsfristens,,
tilbudskurven,T IH2 L B UU0 D S K UH3 R V AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1556,tilbudskurve,,
tilbudsmyndigheten,T IH2 L B UH0 D S M YH0 N D IH0 H EE3 T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,995,tilbudsmyndighete,,
tilbudsstruktur,T IH2 L B UH0 D S S T R UH0 K T UU3 R,NN,SIN|IND|NOM|MAS,,,,Målfrid,949,tilbudsstruktur,,
tilbudsstrukturen,T IH2 L B UH0 D S S T R UH0 K T UU3 RNX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1692,tilbudsstrukture,,
tilbydernes,T IH2 L B YY3 D AX0 RN AX0 S,NN,PLU|DEF|GEN|MAS,,,,Målfrid,941,tilbydernes,,
tilbyders,T IH2 L B YY3 D AX0 RS,NN,PLU|IND|GEN|MAS,,,,Målfrid,3371,tilbyders,,
tildekkingen,T IH1 L D EH3 K IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1415,tildekking,,
tildekkingslaget,T IH1 L D AX0 K IH0 NG S L AA3 G AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1284,tildekkingslag,,
tildelingsbeslutningen,T IH1 L D EE0 L IH0 NG S B AX0 SJ L UH3 T N IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,988,tildelingsbeslutninge,,
tildelingsbrevene,T IH1 L D EE0 L IH0 NG S B R EE3 V AX0 N AX0,NN,PLU|DEF|NOM|NEU,,,,Målfrid,3574,tildelingsbreve,,
tildelingsbrevets,T IH1 L D EE0 L IH0 NG S B R EE3 V AX0 T S,NN,SIN|DEF|GEN|NEU,,,,Målfrid,808,tildelingsbrevets,,
tildelingskriteriene,T IH1 L D EE0 L IH0 NG S K R IH0 T EE3 R IH0 AX0 N AX0,NN,PLU|DEF|NOM|NEU,,,,Målfrid,3001,tildelingskriterie,,
tildelingskriteriet,T IH1 L D EE0 L IH0 NG S K R IH0 T EE3 R IH0 AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,4984,tildelingskriteri,,
tildelingskriterium,T IH1 L D EE0 L IH0 NG S K R IH0 T EE3 R IH0 UH0 M,NN,SIN|IND|NOM|NEU,,,,Målfrid,2413,tildelingskriterium,,
tildelingsprosessen,T IH1 L D EE0 L IH0 NG S P R OH0 S EH3 S NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,946,tildelingsprosesse,,
tilgangskjøper,T IH2 L G AH0 NG S KJ OE3 P AX0 R,NN,SIN|IND|NOM|MAS,,,,Målfrid,1492,tilgangskjøpe,,
tilgangskjøpere,T IH2 L G AH0 NG S KJ OE3 P AX0 R AX0,NN,PLU|IND|NOM|MAS,,,,Målfrid,1334,tilgangskjøper,,
tilgangsstyring,T IH2 L G AH0 NG S S T YY3 R IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,4732,tilgangsstyring,,
tilgangstid,T IH2 L G AH0 NG S T II3 D,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1673,tilgangstid,,
tilgjengeliggjør,T IH0 L J EH1 NG AX0 L IH0 J OE3 R,VB,AKT|IMP-PRS,,,,Målfrid,1142,tilgjengeliggjør,,
tilgjengeliggjøres,T IH0 L J EH1 NG AX0 L IH0 J OE3 R AX0 S,VB,PAS|INF-PRS,,,,Målfrid,1839,tilgjengeliggjøre,,
tilgjengeliggjøringen,T IH0 L J EH1 NG AX0 L IH0 J OE3 R IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,903,tilgjengeliggjøringe,,
tilgjengelighetsloven,T IH0 L J EH1 NG AX0 L IH0 H EE0 T S L OA3 V AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,14111,tilgjengelighetslove,,
tilgjengelighetslovens,T IH0 L J EH1 NG AX0 L IH0 H EE0 T S L OA3 V AX0 N S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,1287,tilgjengelighetslovens,,
tilgrensede,T IH1 L G R EH3 N S AX0 D AX0,JJ,PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,810,tilgrensed,,
tilgrenses,T IH1 L G R EH3 N S AX0 S,VB,PAS|INF-PRS,,,,Målfrid,817,tilgrense,,
tilknytningsformen,T IH1 L K N YH0 T N IH0 NG S F OAH3 R M AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,887,tilknytningsform,,
tilknytningskravet,T IH1 L K N YH0 T N IH0 NG S K R AA3 V AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1359,tilknytningskrav,,
tilknytningsplikt,T IH1 L K N YH0 T N IH0 NG S P L IH3 K T,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,853,tilknytningsplikt,,
tilleggsbehandling,T IH2 L AX0 G S B AX0 H AH3 N L IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1006,tilleggsbehandling,,
tilleggsfinansiering,T IH2 L AX0 G S F IH0 N AH0 N S IH0 EE3 R IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,995,tilleggsfinansiering,,
tilleggsinntekt,T IH2 L AX0 G S IH0 N T EH3 K T,NN,SIN|IND|NOM|MAS,,,,Målfrid,1482,tilleggsinntekt,,
tilleggskode,T IH2 L AX0 G S K OO3 D AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,2232,tilleggskode,,
tilleggskostnader,T IH2 L AX0 G S K OAH3 S T N AH0 D AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1423,tilleggskostnade,,
tilleggslønn,T IH2 L AX0 G S L OEH3 N,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,868,tilleggslønn,,
tilleggsnæring,T IH2 L AX0 G S N AE3 R IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,2075,tilleggsnæring,,
tilleggsnæringer,T IH2 L AX0 G S N AE3 R IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,21778,tilleggsnæringe,,
tilleggsskjema,T IH2 L AX0 G S SJ EE3 M AH0,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1025,tilleggsskjeme,,
tilleggsstønader,T IH2 L AX0 G S S T OE3 N AA0 D AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1024,tilleggsstønade,,
tilleggstoll,T IH2 L AX0 G S T OAH3 L,NN,SIN|IND|NOM|MAS,,,,Målfrid,1344,tilleggstoll,,
tilleggsundersøkelse,T IH2 L AX0 G S UH0 N AX0 RS OE3 K LX0 S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,1112,tilleggsundersøkelse,,
tilleggsundersøkelsen,T IH2 L AX0 G S UH0 N AX0 RS OE3 K LX0 S NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,921,tilleggsundersøkelse,,
tilleggsundersøkelser,T IH2 L AX0 G S UH0 N AX0 RS OE3 K LX0 S AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,891,tilleggsundersøkelse,,
tilleggsutredningen,T IH2 L AX0 G S UU0 T R EE3 D N IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,912,tilleggsutredninge,,
tilleggsutredninger,T IH2 L AX0 G S UU0 T R EE3 D N IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,1214,tilleggsutredninge,,
tilleggsutvalg,T IH2 L AX0 G S UU0 T V AH3 L G,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,837,tilleggsutvalg,,
tilleggsvederlag,T IH2 L AX0 G S V AX0 D AX0 RL AA3 G,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1911,tilleggsvederlag,,
tilleggsvurdering,T IH2 L AX0 G S V UH0 RD EE3 R IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,2099,tilleggsvurdering,,
tillitstjenester,T IH2 L IH0 T S T J EE3 N AX0 S T AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1649,tillitstjeneste,,
tilløpsflom,T IH2 L OE0 P S F L OAH3 M,NN,SIN|IND|NOM|MAS,,,,Målfrid,1078,tilløpsflom,,
tilløpshendelser,T IH2 L OE0 P S H EH3 N LX0 S AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,2687,tilløpshendelse,,
tilløpstunnelen,T IH2 L OE0 P S T UH0 N EH3 L NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,894,tilløpstunnele,,
tilordning,T IH1 L OAH3 RD RN IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,3797,tilordning,,
tilpasningsmuligheter,T IH1 L P AH0 S N IH0 NG S M UU0 L IH0 H EE3 T AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,1088,tilpasningsmulighet,,
tilrettelegginger,T IH0 L R EH2 T AX0 L EH3 G IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,1143,tilrettelegging,,
tilretteleggingsbehov,T IH0 L R EH2 T AX0 L AX0 G IH0 NG S B AX0 H OO3 V,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,835,tilretteleggingsbehov,,
tilretteleggingsmidler,T IH0 L R EH2 T AX0 L AX0 G IH0 NG S M IH3 D L AX0 R,NN,PLU|IND|NOM|NEU,,,,Målfrid,1148,tilretteleggingsmidle,,
tilretteleggingsplikten,T IH0 L R EH2 T AX0 L AX0 G IH0 NG S P L IH3 K T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1197,tilretteleggingsplikte,,
tilretteleggingstiltak,T IH0 L R EH2 T AX0 L AX0 G IH0 NG S T IH0 L T AA3 K,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,5268,tilretteleggingstiltak,,
tilrådningen,T IH1 L R OA3 D N IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1694,tilrådning,,
tilsagnsfullmakt,T IH2 L S AH0 NG N S F UH0 L M AH3 K T,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1297,tilsagnsfullmakt,,
tilsagnsfullmakten,T IH2 L S AH0 NG N S F UH0 L M AH3 K T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,851,tilsagnsfullmakte,,
tilsagnsrammen,T IH2 L S AH0 NG N S R AH3 M AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1023,tilsagnsramme,,
tilse,T IH1 L S EE3,VB,AKT|INF,,,,Målfrid,859,tilse,,
tilsettingsmyndighet,T IH1 L S AX0 T IH0 NG S M YH0 N D IH0 H EE3 T,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,818,tilsettingsmyndighet,,
tilsettingsmyndigheten,T IH1 L S AX0 T IH0 NG S M YH0 N D IH0 H EE3 T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,919,tilsettingsmyndighet,,
tilsettingsprosessen,T IH1 L S AX0 T IH0 NG S P R OH0 S EH3 S NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1499,tilsettingsprosesse,,
tilsettingsutvalget,T IH1 L S AX0 T IH0 NG S UU0 T V AH3 L G AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1406,tilsettingsutvalg,,
tilskuddsbeløp,T IH2 L S K UH0 D S B AX0 L OE3 P,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1344,tilskuddsbeløp,,
tilskuddsbeløpet,T IH2 L S K UH0 D S B AX0 L OE3 P AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,984,tilskuddsbeløp,,
tilskuddsbrev,T IH2 L S K UH0 D S B R EE3 V,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1370,tilskuddsbrev,,
tilskuddsbrevet,T IH2 L S K UH0 D S B R EE3 V AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,3358,tilskuddsbrev,,
tilskuddsforvaltning,T IH2 L S K UH0 D S F OAH0 R V AH3 L T N IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,6744,tilskuddsforvaltning,,
tilskuddsgrunnlaget,T IH2 L S K UH0 D S G R UH0 N L AA3 G AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1337,tilskuddsgrunnlag,,
tilskuddsmidlene,T IH2 L S K UH0 D S M IH3 D L NX0 AX0,NN,PLU|DEF|NOM|NEU,,,,Målfrid,4214,tilskuddsmidle,,
tilskuddsmottakere,T IH2 L S K UH0 D S M OH0 T AA3 K AX0 R AX0,NN,PLU|IND|NOM|MAS,,,,Målfrid,3984,tilskuddsmottakere,,
tilskuddsmottakerne,T IH2 L S K UH0 D S M OH0 T AA3 K AX0 RN AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,1853,tilskuddsmottakerne,,
tilskuddsordningens,T IH2 L S K UH0 D S OAH3 RD RN IH0 NG AX0 N S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,952,tilskuddsordningens,,
tilskuddssats,T IH2 L S K UH0 D S S AH3 T S,NN,SIN|IND|NOM|MAS,,,,Målfrid,882,tilskuddssats,,
tilskuddssatsen,T IH2 L S K UH0 D S S AH3 T S NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1138,tilskuddssatse,,
tilskuddssatsene,T IH2 L S K UH0 D S S AH3 T S NX0 AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,1222,tilskuddssatse,,
tilskuddssatser,T IH2 L S K UH0 D S S AH3 T S AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1855,tilskuddssatse,,
tilskuddsåret,T IH2 L S K UH0 D S OA3 R AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,3236,tilskuddsår,,
tilskåret,T IH1 L S K OA3 R AX0 T,JJ,SIN|IND|NOM|NEU-MAS-FEM|POS,,,,Målfrid,1140,tilskåre,,
tilslamming,T IH1 L SJ L AH3 M IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1887,tilslamming,,
tilstandsanalyse,T IH2 L S T AH0 N S AH0 N AH0 L YY3 S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,877,tilstandsanalyse,,
